,Rank,Job role,Experience Level,Experience detail,Job description,Industry,City,Post Code,Pay total,Pay per hour,Start date,Shift
733,744,Luftverkehr - Catering / Produktion,Interessiert,"Personen, welche Interesse haben an der Produktion von Lebensmitteln. Nach Auswahl dieses Jobprofiles wirst du für die kommende Rekrutierung berücksichtigt.","Möchten Sie Teil eines dynamischen Teams in der Luftfahrtindustrie sein? ( ) AG sucht derzeit einen Grillmitarbeiter am Flughafenfest.

Zu Ihren Aufgaben gehören:
- Zubereitung von Würsten

Wir suchen nach einer engagierten und zuverlässigen Person, die gerne in einem schnellen Arbeitsumfeld arbeitet. Vorkenntnisse in der Lebensmittelproduktion sind von Vorteil, aber nicht zwingend erforderlich. Wichtiger ist die Bereitschaft, zu lernen und sich in einer neuen Umgebung einzuarbeiten.",Luftverkehr,Kloten,8302,686.85,24.1,1 Sep 2023,4
734,745,Pflegefachmann/frau HF dipl. (angepasste Ausbildungen),Gelernt,Die Ausbildungsnachweise (Zertifikate / Diplome) müssen auf dem Coople-Account hinterlegt sein. Die NAREG-Nr. ist im Lebenslauf zu erwähnen.,"Fachaufgaben der Pflegefachperson:
• übernimmt die Verantwortung im Interesse der Patienten in interprofessionellen interdisziplinären Teams (Skills Mix) für eine qualitativ hochstehende, wirksame, effiziente kontinuierliche 
• unterstützt bei der Pflegequalität sowie der damit verbundenen Patientensicherheit
• fördert die interdisziplinäre interprofessionelle Zusammenarbeit
• das Pflegeangebot schliesst präventive therapeutische Massnahmen ein
• richtet ihre Tätigkeiten nach dem Pflegeverständnis 
• setzt die klinikinternen Hygienerichtlinien um 
• kennt die gesetzlichen Rahmenbedingungen hält sie ein

Fachliche Qualifikationsanforderungen:
• Abgeschlossene Ausbildung in der auf Tertiärstufe mit schweizerischem Diplom
• Ausländische Berufsabschlüsse sind durch das SRK als gleichwertig anerkannt registriert",Gesundheitswesen,Zürich,8008,796.05,47.29,1 Sep 2023,2
735,746,Koch/Köchin,Ungelernt,Hobby-Koch/Köchin mit Freude am Kochen und an der Verarbeitung von Lebensmitteln. Teamfähigkeit ist Voraussetzung.,"Wir suchen einen engagierten Grillmeister/Cateringmitarbeiter, der für die Bedienung und Organisation unseres Grills auf Catering-Veranstaltungen verantwortlich ist. Deine Hauptaufgabe besteht darin, unsere Gäste mit gegrillten Speisen zu verwöhnen und gleichzeitig bei der Aufstellung des Catering-Equipments behilflich zu sein. 

Aufgaben:

Grillbedienung:
Grillen von Fleisch, Fisch, Gemüse und anderen Speisen gemäß den Qualitätsstandards.
Sicherstellung, dass alle gegrillten Speisen frisch, saftig und rechtzeitig serviert werden.

Catering-Equipment-Aufstellung:

Unterstützung bei der Vorbereitung des Veranstaltungsortes, einschließlich des Aufbaus von Bänken, Tischen und anderen Catering-Equipments. Gewährleistung einer ästhetisch ansprechenden Anordnung des Catering-Bereichs.

Hygiene und Sauberkeit:
Gewährleistung der Einhaltung von Hygienevorschriften beim Umgang mit Lebensmitteln.
Regelmäßige Reinigung und Pflege des Grills und des Catering-Equipments.
Verantwortungsvoller Umgang mit Lebensmitteln, um die Sicherheit der Gäste zu gewährleisten.

Anforderungen:
Erfahrung im Grillen von Fleisch, Fisch und Gemüse ist von Vorteil.
Freundliches und professionelles Auftreten im Umgang mit Kunden.
Teamfähigkeit und die Fähigkeit, effizient mit anderen Catering-Mitarbeitern zusammenzuarbeiten.
Körperliche Fitness, um bei der Aufstellung des Catering-Equipments zu helfen.
Hygienebewusstsein und Verantwortungsbewusstsein im Umgang mit Lebensmitteln.

Wenn du eine Leidenschaft für das Grillen hast, gerne in einem Team arbeitest und Spaß daran hast, Menschen mit köstlichen Speisen zu begeistern, dann freuen wir uns auf deine Bewerbung als Grillmeister/Cateringmitarbeiter. Werde Teil unseres Teams und trage dazu bei, unvergessliche Catering-Erlebnisse für unsere Kunden zu schaffen!",Gastronomie / Hotel,Zürich,8050,252.0,28.0,1 Sep 2023,1
736,747,Service Gastronomie,Ungelernt mit >20 Monaten Erfahrung,Personen ohne eidgenössisches Fähigkeitszeugnis (EFZ) als Spezialist für Gastronomie mit mehr als 20 Monaten Erfahrung oder Personen mit eidgenössischem Berufsattest (EBA) und weniger als drei Jahren Berufserfahrung im Referenzsektor.,Für ein serviertes Dinner im Zirkus Monti suchen wir dich zur Mithilfe im Service,Gastronomie / Hotel,Aarau,5032,345.0,30.0,1 Sep 2023,2
737,748,Service Gastronomie,Gelernt,"Personen mit eidgenössischem Fähigkeitsausweis (EFZ) als Restaurationsfachmann/frau, einer mindestens dreijährigen beruflichen Grundbildung in der auszuübenden Tätigkeit oder Personen mit einer Attestlehre (EBA) und mindestens drei Jahren Berufspraxis in der auszuübenden Tätigkeit.","Vor- und Nachbereitungsarbeiten sowie gemeinsamen Service für das perfekte Gästeerlebnis.

Die Kleider- und Groomingvorschriften sind zwingend einzuhalten. Sollte dies nicht der Fall sein, so kann der Einsatz nicht angetreten werden und eine Entlohnung entfällt.
 - Saubere und gepflegte schwarze Lederschuhe mit langen schwarzen Socken 
 - Dezentes Make-up und Dezenter Schmuck und keine sichtbaren Piercings
 - Saubere und kurze unlackierte Fingernägel
 - Gepflegte Haare, ab Schulterlänge zusammengebunden
 - Männer frisch rasiert 
 - Positive und offene Körpersprache

TREFFPUNKT: -3 bei der Warenannahme die sich auf der Rückseite des Hotels, neben dem Schotterparkplatz befindet. Treffpunkt an der Aufgangsrampe 10 Minuten vor Beginn des Einsatzes.

Falls du mit dem Auto anreist, dient ausschliesslich dein ausgedruckter Einsatzrapport als Parkschein hinter der Windschutzscheibe. Bitte zwingend auf dem Kiesparkplatz -3 neben der Warenannahme parken ! 
Die Parkplatzgebühren kosten 6 CHF und werden dir über die Spesen abgezogen.

Solltest du mit dem Schiff anreisen, bekommst du ausschliesslich mit deinem gültigen Einsatzrapport (digital oder ausgedruckt) die Fahrt von Luzern nach Kehrsiten Vergünstigt für 6 CHF zur Verfügung gestellt.

Die Bahn zum rauf kostet 6 CHF und wird dir über die Spesen angezogen.

!!Sollte kein Einsatzrapport vorhanden sein, können wir dies nicht berücksichtigen!!",Gastronomie / Hotel,Bürgenstock,6363,400.0,32.0,1 Sep 2023,1
738,749,Spülküchen-Mitarbeiter/in mit Erfahrung,,,,Gastronomie / Hotel,Neuchâtel,2000,195.2,24.4,1 Sep 2023,1
739,750,Promoter/in (Berater/in),,,"Wir sind auf der Suche nach motivierten und zuverlässigen Promotern/innen, für eine Verkaufspromotion für nikotin- und tabakhaltige Produkte.

Anforderungen: Du musst fliessend Deutsch sprechen
Mindestalter: 21 Jahre
Schulung: Vor dem Einsatz ist eine obligatorische Schulung abzuschliessen (wird nach dem ersten Einsatz ausbezahlt) 
Reporting: Es gibt ein Reporting auszufüllen, vor, während und nach deiner Schicht
Datenerfassung: Die Daten der Kunden sind zu erfassen

Wir freuen uns auf deine Bewerbung.",Promotion / Event,Niederuzwil,9244,104.0,26.0,1 Sep 2023,1
740,751,Service Gastronomie,Ungelernt mit >20 Monaten Erfahrung,Personen ohne eidgenössisches Fähigkeitszeugnis (EFZ) als Spezialist für Gastronomie mit mehr als 20 Monaten Erfahrung oder Personen mit eidgenössischem Berufsattest (EBA) und weniger als drei Jahren Berufserfahrung im Referenzsektor.,"Sommerfest / Menü / Getränke/ Food / 

Keine sichtbaren Tattoos oder Piercings

Stoffhose Schwarz & Serviceschuhe Schwarz/Schwarzes Unterhemd

Bluse wird gestellt

Kellner Messer mitbringen bitte",Gastronomie / Hotel,Obersiggenthal,5415,186.0,31.0,1 Sep 2023,1
741,752,Koch/Köchin,Gelernt,"Personen mit eidgenössischem Fähigkeitsausweis (EFZ) als Koch/Köchin, einer mindestens dreijährigen beruflichen Grundbildung in der auszuübenden Tätigkeit oder Personen mit einer Attestlehre (EBA) und mindestens drei Jahren Berufspraxis in der auszuübenden Tätigkeit.",Produktion der Speisen in der warmen sowie kalten Küche. Sicherstellung der erforderlichen Mise-en-place Einhaltung und Umsetzung der ISO- und HACCP-Richtlinien. Allgemeine Aufräum- und Reinigungsarbeiten.,Gastronomie / Hotel,Zürich,8001,568.0,32.0,1 Sep 2023,3
742,753,Koch/Köchin,Gelernt,"Personen mit eidgenössischem Fähigkeitsausweis (EFZ) als Koch/Köchin, einer mindestens dreijährigen beruflichen Grundbildung in der auszuübenden Tätigkeit oder Personen mit einer Attestlehre (EBA) und mindestens drei Jahren Berufspraxis in der auszuübenden Tätigkeit.","Aufgaben: 
- Produktion der Speisen
- Unterstützung des Küchenteams
- Arbeiten vor den Gästen am Stand
- allgemeine Reinigungsarbeiten

Profil:
- Küchenerfahrung in der gehobenen Gastronomie
- Verantwortungsbewusst und selbstständig
- Motiviert, aufgestellt und flexibel

Informationen:
- perfekte ÖV-Anbindungen bis Bahnhof Stettbach von Zürich Hauptbahnhof in 7min (S3, S9, S12)
- KEINE Parkmöglichkeiten 
- Für die Verpflegung werden dir 7.-pro Tag bei Bedarf abgezogen

Pausen- sowie Arbeitszeiten können je nach Gästeanzahl variieren",Gastronomie / Hotel,Dübendorf,8600,192.0,32.0,1 Sep 2023,1
743,754,Service Gastronomie,Ungelernt mit >20 Monaten Erfahrung,Personen ohne eidgenössisches Fähigkeitszeugnis (EFZ) als Spezialist für Gastronomie mit mehr als 20 Monaten Erfahrung oder Personen mit eidgenössischem Berufsattest (EBA) und weniger als drei Jahren Berufserfahrung im Referenzsektor.,Für ein serviertes Dinner im Circus Monti suchen wir einen Foodrunner für einen Kurzeinsatz; du solltest 3 Teller tragen und beim Tische Abräumen die Teller stapeln können.,Gastronomie / Hotel,Aarau,5032,120.0,30.0,1 Sep 2023,1
744,755,Service Gastronomie,Ungelernt,Servicemitarbeiter/in mit Freude am Bedienen und am Umgang mit Gästen. Teamfähigkeit ist Voraussetzung.,"Wir suchen eine(n) Küchen- oder Servicemitarbeitendende(n) für ein serviertes Dinner im Circus Monti im Schachen Aarau.
Deine Aufgaben: Mise en Place Arbeiten, kalte Speisen anrichten, warmes Essen schöpfen, verschiedene Reinigungsarbeiten durchführen.
Deine Schlüsselkompetenzen: Erfahrung im Gastronomiegewerbe, Freundlichkeit und Aufgeschlossenheit,",Gastronomie / Hotel,Aarau,5032,70.0,28.0,1 Sep 2023,1
745,756,Koch/Köchin,Ungelernt,Hobby-Koch/Köchin mit Freude am Kochen und an der Verarbeitung von Lebensmitteln. Teamfähigkeit ist Voraussetzung.,Essensausgabe,Gastronomie / Hotel,Basel,4052,437.5,25.0,1 Sep 2023,3
746,757,Service Gastronomie,Ungelernt mit >20 Monaten Erfahrung,Personen ohne eidgenössisches Fähigkeitszeugnis (EFZ) als Spezialist für Gastronomie mit mehr als 20 Monaten Erfahrung oder Personen mit eidgenössischem Berufsattest (EBA) und weniger als drei Jahren Berufserfahrung im Referenzsektor.,"Wir lieben motiviertes, aufgestelltes Personal welches richtig ""Bock"" hat unsere Gäste zu verwöhnen.
Wir suchen Personal für den Service ohne Inkasso.
Bitte beachtet das es keine kostenlose Parkplätze vor Ort hat.",Gastronomie / Hotel,Luzern,6005,178.25,31.0,1 Sep 2023,1
747,758,Koch/Köchin,Gelernt,"Personen mit eidgenössischem Fähigkeitsausweis (EFZ) als Koch/Köchin, einer mindestens dreijährigen beruflichen Grundbildung in der auszuübenden Tätigkeit oder Personen mit einer Attestlehre (EBA) und mindestens drei Jahren Berufspraxis in der auszuübenden Tätigkeit.","Das in der Neustadt Luzern fokussiert auf Grillgerichte. Unsere Gäste begeistern wir im modernen Ambiente und herzliche Gastfreundschaft sind das A und O. 
Wir freuen uns auf deine Unterstützung!",Gastronomie / Hotel,Luzern,6003,1260.0,35.0,1 Sep 2023,6
748,759,Service Gastronomie,Gelernt,"Personen mit eidgenössischem Fähigkeitsausweis (EFZ) als Restaurationsfachmann/frau, einer mindestens dreijährigen beruflichen Grundbildung in der auszuübenden Tätigkeit oder Personen mit einer Attestlehre (EBA) und mindestens drei Jahren Berufspraxis in der auszuübenden Tätigkeit.",Mithilfe bei einem Fest.,Gastronomie / Hotel,Kriens,6010,152.0,32.0,1 Sep 2023,1
749,760,Service Gastronomie,Ungelernt,Servicemitarbeiter/in mit Freude am Bedienen und am Umgang mit Gästen. Teamfähigkeit ist Voraussetzung.,"Eintreffen:
Bitte melden Sie sich nach Ankunft um 16.45 Uhr beim Concierge. Bitte stellen Sie eine pünktliche Anwesenheit sicher. 
Wir erwarten 10 Mitarbeitende von Coople. 

Anreise/Zufahrt:
Bitte bemühen Sie sich frühzeitig um einen Parkplatz in den umliegenden Parkhäusern, da unser eigenes Parkhaus für die Gäste reserviert ist.
 
Garderobe:
Der Umkleideraum wird Ihnen zur Verfügung gestellt. Bitte reduzieren Sie Ihre Wertsachen auf das Mindeste. Als Arbeitgeber und Hotelunternehmen lehnen wir jegliche Haftung ab.

Gepflegtes Äusseres:
-Herren: Ungepflegte Bärte und Schnurrbärte oder zu schwacher Bartwuchs sind nicht erlaubt. Sichtbare Piercings sind nicht gestattet.
-Damen: Gerne befürworten wir ein leichtes und dezentes Make-up, welches die Gesichtszüge unterstreicht und Ihnen ein frisches und natürliches Aussehen gibt. Schulterlanges Haar darf offen, aber aus dem Gesicht frisiert, getragen werden. Längere Haare sind entweder aufgesteckt oder werden als Zopf resp. Pferdeschwanz getragen. Sichtbare Piercings sind nicht gestattet. Die Damen nehmen bitte schwarze Strumpfhosen mit (30DEN).

Mobiltelefon:
Das Mitführen und die Nutzung des Mobiltelefons ist während der Arbeitszeit nicht erlaubt.
 
Verpflegung:
Je nach Einsatzdauer besteht die Möglichkeit sich in unserem Mitarbeiter-Restaurant zu verpflegen. Hierfür kann nur Barzahlung akzeptiert werden.
 
Einsatzdauer:
Wir weisen Sie hiermit noch darauf hin, dass bei gewissen Coople-Kandidaten die Einsatzdauer evtl. etwas kürzer als geplant ausfallen kann. Wir bitten Sie hierfür um eine gewisse Flexibilität.
 
Programm:
Es handelt sich um eine Veranstaltung mit wichtigen Managern die sehr gut betreut werden müssen.

Ausfall/Krankheit:
Sollten Sie wegen Krankheit nicht erscheinen können, bitten wir Sie die folgende Kontaktperson frühzeitig zu informieren.
-> Human Resources, 033 828 26 78, [link hidden]",Gastronomie / Hotel,Interlaken,3800,169.0,26.0,1 Sep 2023,1
750,761,Service Gastronomie,Ungelernt,Servicemitarbeiter/in mit Freude am Bedienen und am Umgang mit Gästen. Teamfähigkeit ist Voraussetzung.,"Suchen Sie nach einer aufregenden und einzigartigen Gelegenheit, in einem dynamischen Team zu arbeiten? of AG sucht Verkaufsmitarbeiter/innen für unseren Stand am Street Food Festival auf dem Markthallenplatz in Langenthal.

Als Verkaufsmitarbeiter/in werden Ihre Aufgaben Folgendes umfassen:

- Auf- und Abbau der verschiedenen Verkaufsstellen
- Zubereitung und Verkauf von verschiedenen Food- und Getränke-Angeboten
- Durchführung von verschiedenen Reinigungsarbeiten

Wir legen großen Wert auf Freundlichkeit und Aufgeschlossenheit. Wenn Sie eine offene Persönlichkeit haben und gerne im Team arbeiten, dann bewerben Sie sich schnell bei uns.

Als Mitglied unseres Teams profitieren Sie von folgenden Vorteilen:

- Flexible Arbeitszeiten
- Einzigartige Arbeitsatmosphäre
- Großartige und freundliche Kollegen
- Wettbewerbsfähiges Gehalt 

Bewerben Sie sich noch heute für eine spannende Erfahrung im Team des of AG Food Trucks!",Gastronomie / Hotel,Langenthal,4900,456.25,25.0,1 Sep 2023,3
751,762,Service Gastronomie,Ungelernt mit >20 Monaten Erfahrung,Personen ohne eidgenössisches Fähigkeitszeugnis (EFZ) als Spezialist für Gastronomie mit mehr als 20 Monaten Erfahrung oder Personen mit eidgenössischem Berufsattest (EBA) und weniger als drei Jahren Berufserfahrung im Referenzsektor.,"Du unterstützt den Service als Food Runner. Hilfst beim Getränkeservice, abräumen und neu eindecken der Tische. Zusätzlich hilfst Du am Buffet mit.",Gastronomie / Hotel,Zürich,8004,135.0,30.0,1 Sep 2023,1
752,763,Service Gastronomie,Ungelernt,Servicemitarbeiter/in mit Freude am Bedienen und am Umgang mit Gästen. Teamfähigkeit ist Voraussetzung.,"Le est à la recherche de serveurs(euses) expérimenté(e)s pour rejoindre l'équipe dynamique du TOM Café pour une mission temporaire.

Dress Code:
Chemise noire, pantalon noir, chaussures noires. 
Si vous avez une excellente présentation, le sens du service et aimez travailler en équipe, ce poste est fait pour vous!

Responsabilités :
- Accueillir les clients avec courtoisie et professionnalisme
- Présenter les menus et conseiller les clients sur les plats du jour ou les spécialités de la maison
- Prendre les commandes avec précision et veiller à leur bonne réalisation en cuisine
- Assurer le service des plats et boissons à table selon les règles de l'art
- S'assurer que chaque client est satisfait tout au long du repas
- Entretenir une relation attentive avec la clientèle afin d'être réactif(ve) à leurs besoins ou remarques
- Participer activement au maintien de l'hygiène et la propreté du restaurant

Qualifications :
- Expérience préalable en tant que serveur/serveuse (un plus)
- Maîtrise des codes du service à table (coupe des vins, portage de 3 assiettes...)
- Excellente présentation physique et orale
- Sens inné de l'accueil et du contact humain",Gastronomie / Hotel,Lausanne,1006,150.5,24.08,1 Sep 2023,1
753,764,Logistiker/in,Ungelernt,"Personen mit Bereitschaft zu körperlicher Arbeit (z.B. Be-/Entladen von Lastwagen, Einpacken und Rüsten von Sendungen). Handwerkliches Geschick von Vorteil.","Aufgaben:
• Auffüllen der Regale 
• Be- und Entladen von Lastwagen
• Sorgfältiger Umgang mit der Ware
• Sicherstellung von Ordnung, Sauberkeit und Sicherheit im Lager

Erwartungen:
• Erste Erfahrungen in der Logistik
• Kommunikative Deutschkenntnisse
• Stressresistenz, Flexibilität und Servicebereitschaft
• Transparente Arbeitsweise und guter Teamgeist
• Die Fähigkeit, körperlich zu arbeiten und ein hohes Arbeitstempo zu bewältigen
• Eigenverantwortung und die Fähigkeit, sich ändernden Anforderungen anzupassen
• Eine unabhängige, gut strukturierte, schnelle und detaillierte Arbeitsweise und die Fähigkeit zur Handhabung
• Multitasking
• Pünktlichkeit

Arbeitszeiten können abweichen - FLEXIBILITÄT wird erwartet!
• Für die Garderobe wird ein 5.- Stück benötigt. Bitte zum Einsatz mitnehmen",Promotion / Event,Neuendorf,4623,361.8,24.12,2 Sep 2023,2
754,765,Service Gastronomie,Ungelernt,Servicemitarbeiter/in mit Freude am Bedienen und am Umgang mit Gästen. Teamfähigkeit ist Voraussetzung.,"Für die SWISS Business Class Lounge im Terminal A am Flughafen suchen wir eine/n engagierte/n Servicefachmitarbeiter/in zur Unterstützung der Buffetpflege sowie Abräumen der Tische.
ZWINGEND AUSWEISDOKUMENT ZUM EINSATZ MITBRINGEN.

Bei Anfahrt mit dem Auto kann nach erfolgter Anstellung eine Parkkarte bei Coople (mailto: [link hidden]) beantragt werden. Die aufladbare Parkkarte ist anschliessend nach 2 Arbeitstagen (Mo-Fr) auf dem Ausweisbüro des Flughafen Zürichs abholbereit.


Uniform:
Schwarze klassische Arbeitsschuhe, Schwarzes langärmeliges Shirt ( ohne aufdrucke )und schwarze Bundfaltenhosen durch den Arbeitnehmer mitzubringen.
Keine sichtbaren Tattoos und Piercing",Gastronomie / Hotel,Zürich,8060,529.76,24.08,2 Sep 2023,3
755,766,Koch/Köchin,Gelernt,"Personen mit eidgenössischem Fähigkeitsausweis (EFZ) als Koch/Köchin, einer mindestens dreijährigen beruflichen Grundbildung in der auszuübenden Tätigkeit oder Personen mit einer Attestlehre (EBA) und mindestens drei Jahren Berufspraxis in der auszuübenden Tätigkeit.",Für Brunch Gäste Eierspeisen kochen sowie Buffet ständig auffüllen,Gastronomie / Hotel,Kloten,8058,646.0,38.0,2 Sep 2023,2
756,767,Service Gastronomie,Gelernt,"Personen mit eidgenössischem Fähigkeitsausweis (EFZ) als Restaurationsfachmann/frau, einer mindestens dreijährigen beruflichen Grundbildung in der auszuübenden Tätigkeit oder Personen mit einer Attestlehre (EBA) und mindestens drei Jahren Berufspraxis in der auszuübenden Tätigkeit.","Möchtest du diese einmalige Gelegenheit nutzen, um während einer aufregenden Veranstaltung in der Luftfahrtbranche zu arbeiten? AG sucht derzeit Unterstützung für den 1. August Brunch auf der Besucherterasse.

Aufgaben umfassen:
- Unterstützung des Servicepersonals
- Führung einer Station
- Freundliche Bedienung von Gästen

Bei AG bieten wir nicht nur eine spannende Arbeitsumgebung, sondern auch die Möglichkeit, Teil eines dynamischen und engagierten Teams zu sein. Als führendes Unternehmen in der Luftfahrtgastronomie sind wir bestrebt, unseren Gästen ein herausragendes Erlebnis zu bieten.

Wenn du Spaß daran hast, Menschen zu bedienen, teamorientiert bist und gerne in einer lebhaften Umgebung arbeitest, dann freuen wir uns auf deine Bewerbung. Profitiere von den Vorteilen einer flexiblen Arbeitszeitplanung, einem attraktiven Gehaltspaket und der Möglichkeit, dich weiterzuentwickeln.

Bewirb dich noch heute bei AG und sei Teil unseres Teams für den 1. August Brunch auf der Besucherterasse!",Gastronomie / Hotel,Kloten,8058,578.0,34.0,2 Sep 2023,2
757,768,Fachmann/frau Gesundheit EFZ (angepasste Ausbildungen),Gelernt,Die Ausbildungsnachweise (Zertifikate / Diplome) müssen auf dem Coople-Account hinterlegt sein. Die NAREG-Nr. ist im Lebenslauf zu erwähnen.,"Leben im Alter ist eine Gemeinschaftsaufgabe. Dafür braucht es nicht nur den passenden Ort, sondern auch Menschen, die mit viel Freude und Engagement anpacken. Im setzen wir uns gemeinsam mit viel Herz und Professionalität täglich für das Wohl unserer Bewohnenden ein.

Aufgrund von kurzfristigen Personalausfällen infolge Unfall suchen wir für unsere Pflegeteams Unterstützung.

IN DIESEN BEREICHEN KENNEN SIE SICH AUS
- Sie stellen eine bedarfsgerechte und ressourcenbezogene Pflege und Betreuung unserer Bewohnenden sicher
- Sie übernehmen fachliche Verantwortung und koordinieren Aufgaben und Abläufe
- Sie sind mitverantwortlich für die Gestaltung und Umsetzung des Pflegeprozesses (RAI-NH)
- Sie übernehmen Tagesverantwortung

MIT DIESEM PROFIL PASSEN SIE ZU UNS
- Sie sind ausgebildete Fachperson Gesundheit oder Langzeitpflege und -betreuung mit eidg. FA
- Sie können eine Pflegesituation rasch und kompetent erfassen und verfügen über eine gute Selbstorganisation
- Sie sind belastbar und agieren dienstleistungsorientiert sowie verantwortungsbewusst
- Sie arbeiten gerne in einem kleinen Team für das grosse Ganze und verfügen über eine gute Selbstorganisation
- Sie leben eine wertschätzende und kooperative Haltung
- Sie bringen idealerweise Berufserfahrung aus der Langzeitpflege mit

DAMIT ÜBERZEUGEN WIR SIE
- Interessantes und spannendes Arbeitsumfeld
- Aktive Arbeitszeitgestaltung (bei Arbeitsplan und Einsätzen auf Abruf)
- Dynamisches Team mit flachen Hierarchien und offener Feedback-Kultur

Klingt das nach einer spannenden Möglichkeit? Marius Pribil, Leiter Pflege und Betreuung, erteilt Ihnen gerne näher Auskunft.

Keine Fragen? Dann freuen wir uns auf Ihre Unterstützung!",Gesundheitswesen,Gossau,9200,1641.25,32.5,2 Sep 2023,6
758,769,Koch/Köchin,Ungelernt,Hobby-Koch/Köchin mit Freude am Kochen und an der Verarbeitung von Lebensmitteln. Teamfähigkeit ist Voraussetzung.,"- Salat rüsten
- Kalte Teller rüsten
- Pizza/ Panini Posten betreuen
- Posten aufräumen",Gastronomie / Hotel,Schaffhausen,8201,217.0,28.0,2 Sep 2023,1
759,770,Spülküchen-Mitarbeiter/in mit Erfahrung,,,"Hallo Zusammen

Schön, dass Du Dich für unseren Einsatz interessierst. 
Wir sind immer auf der Suche nach dynamischen Mitarbeitenden, welche uns tatkräftig und mit viel Leidenschaft unterstützen.

Spezifischer Einsatz:
- Arbeiten in der Spühlküche/Abwaschküche
- Reinigung der Tische und des Gastraumes
- Arbeiten an beiden Spühlmaschinen (Porzellan/Glas und Küchengeschirr)
- Allgemeine Aufräum & Reinigungsarbeiten

Anforderungen:
Auf eine aufrechte Körperhaltung, ein gepflegtes Auftreten und persönliche Hygiene legen wir viel Wert. Dazu gehören ein ordentlicher Haarschnitt, Haare werden zusammengebunden, dezentes Make up und Parfum, eine saubere Rasur, gepflegte und saubere Fingernägel sowie unauffälliger Schmuck.
Das Einsatzende kann etwas variieren. Ich bitte dich mind. 10 Minuten vor Schichtbeginn am Einsatzort zu sein.
Bitte mit Schwarze Hose und Schuhe erscheinen.

Wir freuen uns auf Dich, also schnell bewerben! ツ

Gruss Euer Dominik",Gastronomie / Hotel,Winterthur,8400,209.25,27.0,2 Sep 2023,1
760,771,Verkaufsmitarbeiter/in / Detailhandel,Ungelernt,"Verkaufsmitarbeiter/in mit Freude am Verkauf und am Umgang mit Kunden. Erste Erfahrungen im Verkauf sind von Vorteil, aber nicht zwingend.","Aufgaben:
Kontrolle der Wareneingängen, Produkten und Daten
Warenbewirtschaftung und –präsentation (inkl. Promotionen)
Einhaltung und Durchsetzung der gesetzlichen und betrieblichen Hygienerichtlinie und Vorschriften (HACCP)

Profil:
Teamfähige, selbständige, flexible und belastbare Persönlichkeit 
Gepflegtes Erscheinungsbild, einwandfreie Umgangsformen und positive Ausstrahlung
Kunden und Dienstleistungsorientiert
Sehr gute Deutschkenntnisse, weitere Sprachen von Vorteil

Die Einsatztage- und Zeiten sind noch nicht definiert und werden werden vom Auftraggeber laufend ca. 1-3 Wochen im Voraus kommuniziert.
Die Einsatztage- und Zeiten in diesem Einsatz sind fiktiv.
Sie müssen während der ganzen Zeit flexibel verfügbar sein (jeweils zwischen 09:00-20:00 Uhr inkl. Samstag- und Sonntagseinsätze).",Detailhandel / Logistik,Bern,3001,236.25,27.0,2 Sep 2023,1
761,773,Service Gastronomie,Gelernt,"Personen mit eidgenössischem Fähigkeitsausweis (EFZ) als Restaurationsfachmann/frau, einer mindestens dreijährigen beruflichen Grundbildung in der auszuübenden Tätigkeit oder Personen mit einer Attestlehre (EBA) und mindestens drei Jahren Berufspraxis in der auszuübenden Tätigkeit.","Für unser öffentliches Restaurant im benötigen wir eine , fröhliche und engagierte/n Mitarbeiterin oder Mitarbeiter. Mit Freude leisten sie ihren Einsatz in unserem Restaurant und bedienen unsere vielfältigen Gästegruppen. Sie verkaufen mit Überzeugung und Stolz das kleine, abwechslungsreiche und hochwertige Angebot aus unserer Küche.
• Ausführen des Services durch eine offene, unkomplizierte und liebenswürdige Art
• Effiziente, engagierte und emphatische Arbeitsweise im kleinen Team
• Erfassen aller Verkäufe über das Xenia Kassenprogramm
• Beitrag dazu, dass die Service-Standards einheitlich sind, kontrolliert und leitet, wenn notwendig Feedback weiter
• Ausführen von Reinigungsarbeiten im Restaurantbereich
• Fliesende Deutsche Sprache 
• Mitarbeit im Bankettservice",Gastronomie / Hotel,Birsfelden,4127,288.0,32.0,2 Sep 2023,1
762,774,Promoter/in (Berater/in),,,"Ende November feiert das Einkaufscenter Zugerland Neueröffnung. Als Hinweis zu dieser Neueröffnung verteilen wir bei der Tal- und Bergstation Gutscheine und ein kleines Give Away an alle Besucher und Besucherinnen. 
Der Einsatz wird nur bei gutem Wetter durchgeführt.",Promotion / Event,Zug,6300,221.0,26.0,2 Sep 2023,1
763,775,Koch/Köchin,Ungelernt,Hobby-Koch/Köchin mit Freude am Kochen und an der Verarbeitung von Lebensmitteln. Teamfähigkeit ist Voraussetzung.,"Vorbereitung von offenen und verpackten Produkten für die Besucher sowie Verkostungsprodukte für Führungen vorbereiten. 
Einhalten der Lebensmittel- und Qualitätsvorschriften gemäss Qualitätsicherung & Sprüngli und der Lebensmittelgesetzgebung.
Abfallentsorgung, Unterhalt und Reinigen der Arbeitsinstrumente und Backoffice-Räumlichkeiten.
Längerfristige und regelmässige Einsätze gewünscht.",Gastronomie / Hotel,Kilchberg,8802,3360.72,25.46,2 Sep 2023,33
